id;federal_subject;boundary_name
00000000126107;Республика Коми;Нижегородская область
00000000126518;РФ;Республика Коми
00000000126829;Курганская область;Владимирская область
00000000126845;Курганская область;Забайкальский край
00000000126885;Курганская область;Саратовская область
00000000126886;Курганская область;Ярославская область
00000000126896;Курганская область;Воронежская область
00000000126908;Курганская область;Ярославская область
00000000127102;Курганская область;Камчатский край
00000000127190;Московская область;Сахалинская область
00000000127195;Московская область;Чувашская республика
00000000127197;Пермский край;Ростовская область
00000000127198;Московская область;Республика Башкортостан
00000000127452;Севастополь;Севастополь
00000000128207;РФ;Пермский край
00000000128474;Москва;Оренбургская область
00000000128483;Москва;Удмуртская республика
00000000128489;Москва;Воронежская область
00000000128503;Москва;Московская область
00000000128567;Пермский край;Ростовская область
00000000128683;Свердловская область;Самарская область
00000000128796;Ульяновская область;Краснодарский край
00000000129307;Орловская область;Республика Марий Эл
00000000129310;Орловская область;Ставропольский край
00000000129311;Орловская область;Краснодарский край
00000000129324;Оренбургская область;Липецкая область
00000000129339;Оренбургская область;Кировская область
00000000129451;Удмуртская республика;Челябинская область
00000000129488;Удмуртская республика;Ставропольский край
00000000129490;Удмуртская республика;Алтайский край
